id;name;salary;keyskills;area;employer;employementtime
79831677;Middle Python Developer;250000.0;('python', 'asyncio', 'pandas', 'numpy', 'ci', 'r', 'c', 'async');Москва;DM Basis;full
80365534;Аналитик-разработчик / Data Analyst в команду агентской аналитики в Яндекс;250000.0;('c');Москва;Remokate;full
79976368;Разработчик Python;200000.0;('разработчик', 'ии');Москва;Softline;full
77394308;Python + R Developer (bioinformatic), New Zealand;6250.0;('r', 'it', 'c', 'development', 'ar');Москва;ГК ВИЗАВИ Консалт;full
80059804;Разработчик Python;200000.0;('pytest', 'r', 'c', 'pytest,', 'боты');Москва;Группа Компаний Аскона;full
80068820;Python Developer;100000.0;('go', 'r', 'ии', 'боты');Москва;РБ;part
80091424;Python Developer (Web Scraping);100000.0;('математика', 'боты');Москва;БиАйЭй-Технолоджиз;full
80191880;Middle+ Backend Engineer;4000.0;('backend', 'r', 'c');Москва;Superdao;full
80258965;Инженер внедрения\Аналитик;180000.0;('java', 'r', 'c', 'боты');Москва;Фаззи Лоджик Лабс;full
80257309;DevOps-инженер;180000.0;('it', 'ии');Москва;DSS Lab (ДСС Лаб);full
79676308;Python-разработчик (Middle);180000.0;('боты');Москва;АНО ЦИСМ;full
80181066;Репетитор по программированию на Python (удалённо);45000.0;();Москва;TutGood;part
80426133;Преподаватель BIG DATA (Data Engineer/Python developer);225000.0;('r', 'c', 'ux');Москва;Учебный центр Коммерсант;part
79968384;Python-разработчик (удаленно);450000.0;('r', 'dl', 'middle', 'ad', 'ии');Москва;getmatch;full
79527261;C++ разработчик (Senior / Middle);4000.0;('ии');Москва;L3 Technologies;full
79618506;Инженер-программист middle;200000.0;('python', 'java', 'r', 'perl');Москва;ИНИТИ;full
80242073;Старший инженер-разработчик Python;250000.0;('asyncio', 'ci', 'c', 'async');Москва;Центр экономики инфраструктуры;full
67864415;Python программист (Наставник онлайн-курса по Python);80000.0;('go');Москва;Hexlet;part
79661960;Data Engineer (Big Data);280000.0;();Москва;Платформа ОФД;full
78823037;Разработчик Python;150000.0;('git', 'it', 'c', 'ux', 'боты');Москва;ФинТех;full
79500682;Аналитик данных;150000.0;('git', 'it', 'ии');Москва;Лента, федеральная розничная сеть;full
79924782;SDET Python (B4N);150000.0;('технолог', 'ии');Москва;Лаборатория Касперского;full
80167705;Fullstack разработчик (AdTech);240000.0;('c', 'работать', 'боты');Москва;Programmatica.com;full
80170159;QA старший тестировщик (python, pytest) в офис, Москва;200000.0;('pytest');Москва;Hyper AdTech;full
80084149;Начинающий программист BI (sql/python/js);55000.0;();Москва;Первый Бит;full
80222037;Инженер Linux (отдел разработки ОС);215000.0;('python', 'bash', 'желание обучаться');Москва;Кадровое агентство Smart Business;full
79790204;Middle Backend Developer;125000.0;('технолог');Москва;Programmatic Group;full
78909742;Преподаватель онлайн-курсов Python / Scratch / Геймдизайн для детей (групповые занятия);125000.0;('r', 'c', 'боты');Москва;Алгоритмика;full
77658597;Python Developer, New Zealand;6250.0;('r', 'it', 'c', 'development', 'ux', 'ar');Москва;ГК ВИЗАВИ Консалт;full
79991315;Программист Python;6250.0;('математика', 'c');Москва;UniCredit Bank;full
76813506;Senior Backend Python Developer Audiogram (MTS AI);350000.0;('asyncio', 'ci', 'r', 'c', 'async');Москва;МТС;full
79375455;Инженер по автоматизации тестирования (Python);120000.0;('r', 'it', 'автотесты');Москва;Эшелон Технологии;full
80226032;DevOps engineer;300000.0;('r', 'it', 'shell', 'боты');Москва;СЕЙЧАС;full
80449856;Системный инженер Linux;200000.0;('r', 'it', 'c', 'ux');Москва;СВЕМЕЛ, Многопрофильное внедренческое предприятие;full
79257671;Ведущий программист / разработчик Linux;300000.0;('r');Москва;МД Информационные Системы;full
78636833;QA Инженер по нагрузочному тестированию;300000.0;('r', 'c', 'работать', 'framework');Москва;КИБЕР-РОМ;full
79821878;Senior Python Developer;200000.0;('python', 'asyncio', 'pandas', 'numpy', 'ci', 'r', 'c', 'async');Москва;DM Basis;full
80050640;Data Scientist;450000.0;();Москва;getmatch;full
76140465;Middle backend-разработчик Python;450000.0;('backend', 'web', 'c');Москва;ИТЕРАНЕТ;full
80306906;QA Fullstack Тестировщик (АТ+ФТ);190000.0;('go', 'ux', 'технолог', 'боты');Москва;Devquality;full
77331406;Senior Python-разработчик;240000.0;();Москва;AGIMA;full
79777516;Инженер DevOps;197500.0;('it', 'ии');Москва;Астрономический Научный Центр;full
78192324;Продуктовый аналитик;150000.0;('ии', 'боты');Москва;24Н Софт;full
79718797;Разработчик python middle;150000.0;('ии', 'боты');Москва;Eqvanta;full
79646178;Старший разработчик Perl;250000.0;('js', 'r', 'боты');Москва;Нектар;full
79682808;Middle Разработчик Python по работе над AI agents;130000.0;('технолог');Москва;Social Media Holding;full
79548723;Системный аналитик;180000.0;('c', 'back end', 'боты');Москва;Scalaxi;full
